plant_uid,water_scenario,heat_scenario,country,plant_name,lat,lon,bucket,capacity_mw,commissioning_year,hazard_gfdl_esm4,hazard_miroc6,age,age_factor,age_factor_neutralized_missing_year,hazard_gfdl_esm4_aged,hazard_miroc6_aged
BRA-0105493330c9,pes,ssp585,Brazil,Consorcio Rz Mato Grosso solar project,-14.6214,-57.4907,solar,5.0,2020.0,0.6791694664616611,0.8295178509759166,30.0,1.190014107479704,False,0.8082212464588403,0.9871379450675875
BRA-011f83530b5a,bau,ssp370,Brazil,Assuruá wind farm,-11.0354,-42.6321,wind,25.0,2019.0,0.0676557045587826,0.7738236479549552,31.0,1.124,False,0.07604501192407165,0.8697777803013697
BRA-011f83530b5a,opt,ssp126,Brazil,Assuruá wind farm,-11.0354,-42.6321,wind,25.0,2019.0,0.024847732933448,0.7206598994533336,31.0,1.124,False,0.027928851817195555,0.8100217269855471
BRA-011f83530b5a,pes,ssp585,Brazil,Assuruá wind farm,-11.0354,-42.6321,wind,25.0,2019.0,0.1208141271378767,0.7688978521863824,31.0,1.124,False,0.13579507890297343,0.8642411858574939
BRA-0139f50309fa,bau,ssp370,Brazil,Concremwood solar project,-4.1822,-47.5486,solar,1.0,2023.0,0.3110350440510811,0.8654834941451137,27.0,1.1727634601725492,False,0.3647705344962672,1.0150074173158519
BRA-0139f50309fa,opt,ssp126,Brazil,Concremwood solar project,-4.1822,-47.5486,solar,1.0,2023.0,0.1304063231793795,0.8586710356484601,27.0,1.1727634601725492,False,0.1529357708002288,1.0070180149170345
BRA-0139f50309fa,pes,ssp585,Brazil,Concremwood solar project,-4.1822,-47.5486,solar,1.0,2023.0,0.4573400335416996,0.8933779647409958,27.0,1.1727634601725492,False,0.5363516802117934,1.0477210331715598
BRA-014ad9dce48a,bau,ssp370,Brazil,Construtora Vale do Prata solar project,-9.4778,-35.8394,solar,1.0,2023.0,0.0056248404918626,0.0282732964437187,27.0,1.1727634601725492,False,0.006596607398155446,0.03315788896781977
BRA-014ad9dce48a,opt,ssp126,Brazil,Construtora Vale do Prata solar project,-9.4778,-35.8394,solar,1.0,2023.0,0.0140917505549057,0.0353829266746714,27.0,1.1727634601725492,False,0.01652629014065965,0.041495803518019216
BRA-014ad9dce48a,pes,ssp585,Brazil,Construtora Vale do Prata solar project,-9.4778,-35.8394,solar,1.0,2023.0,0.0271336631704659,0.0364066932333553,27.0,1.1727634601725492,False,0.03182136870695205,0.04269643952979029
BRA-014e7d48142d,bau,ssp370,Brazil,Associacao Guaratiba Energia Solar,-12.72,-42.15,solar,1.0,2024.0,0.0216372520456131,0.7855148644145792,26.0,1.1669319840609758,False,0.0252492014592147,0.9166424192406932
BRA-014e7d48142d,opt,ssp126,Brazil,Associacao Guaratiba Energia Solar,-12.72,-42.15,solar,1.0,2024.0,0.0148842991799248,0.7232596815349293,26.0,1.1669319840609758,False,0.0173689647733868,0.8439948551648645
BRA-014e7d48142d,pes,ssp585,Brazil,Associacao Guaratiba Energia Solar,-12.72,-42.15,solar,1.0,2024.0,0.0216372520456131,0.78784000536975,26.0,1.1669319840609758,False,0.0252492014592147,0.9193557005887322
BRA-014f3c16bedf,bau,ssp370,Brazil,Glicério Telefonica Brasil solar project,-21.3815,-50.21,solar,2.0,2023.0,0.4519513407772275,0.7268665353888896,27.0,1.1727634601725492,False,0.5300320182395242,0.8524425131263068
BRA-014f3c16bedf,opt,ssp126,Brazil,Glicério Telefonica Brasil solar project,-21.3815,-50.21,solar,2.0,2023.0,0.4056911874411019,0.6954541753446984,27.0,1.1727634601725492,False,0.47577980074493686,0.8156032450686953
BRA-014f3c16bedf,pes,ssp585,Brazil,Glicério Telefonica Brasil solar project,-21.3815,-50.21,solar,2.0,2023.0,0.5325192247296834,0.7384133360285948,27.0,1.1727634601725492,False,0.6245190886023868,0.8659841789984501
BRA-015abec5ef21,bau,ssp370,Brazil,São Sebastião do Oeste Consorcio Comerc Energia Mg III solar project,-20.2747,-45.0036,solar,1.0,2023.0,0.0291837058095261,0.2893621089802082,27.0,1.1727634601725492,False,0.03422558380583755,0.3393533081704552
BRA-015abec5ef21,opt,ssp126,Brazil,São Sebastião do Oeste Consorcio Comerc Energia Mg III solar project,-20.2747,-45.0036,solar,1.0,2023.0,0.0216372520456131,0.2468459656332064,27.0,1.1727634601725492,False,0.025375378577638785,0.2894919287856333
BRA-015abec5ef21,pes,ssp585,Brazil,São Sebastião do Oeste Consorcio Comerc Energia Mg III solar project,-20.2747,-45.0036,solar,1.0,2023.0,0.0411549197903815,0.3366472156032979,27.0,1.1727634601725492,False,0.04826498613649153,0.39480755342837787
BRA-0166e6266303,bau,ssp370,Brazil,Parnaiba power station,-4.820569,-44.355006,thermal,1906.4,2013.0,0.1443392725995988,0.4564483652230457,37.0,1.0,False,0.1443392725995988,0.4564483652230457
BRA-0166e6266303,opt,ssp126,Brazil,Parnaiba power station,-4.820569,-44.355006,thermal,1906.4,2013.0,0.246604323812956,0.480703345811334,37.0,1.0,False,0.246604323812956,0.480703345811334
BRA-0166e6266303,pes,ssp585,Brazil,Parnaiba power station,-4.820569,-44.355006,thermal,1906.4,2013.0,0.216194895877202,0.4692439393986295,37.0,1.0,False,0.216194895877202,0.4692439393986295
BRA-016e1009aa76,bau,ssp370,Brazil,Usinas Pinheiro Renno e Sb Energia solar project,-22.4243,-43.8935,solar,2.5,2023.0,0.0358578453446848,0.025768801615202,27.0,1.1727634601725492,False,0.04205277078076468,0.030220708946744272
BRA-016e1009aa76,opt,ssp126,Brazil,Usinas Pinheiro Renno e Sb Energia solar project,-22.4243,-43.8935,solar,2.5,2023.0,0.0099873116418328,0.03264721750272,27.0,1.1727634601725492,False,0.011712754158897417,0.03828746376349571
BRA-016e1009aa76,pes,ssp585,Brazil,Usinas Pinheiro Renno e Sb Energia solar project,-22.4243,-43.8935,solar,2.5,2023.0,0.0460319984083893,0.0420488490697795,27.0,1.1727634601725492,False,0.05398464573207991,0.04931335373134788
BRA-017b4d129a81,bau,ssp370,Brazil,Nova Xavantina Es Participacoes Mato Grossense solar project,-15.0,-56.0,solar,5.0,2025.0,0.5526118271050527,0.7817462482595433,25.0,1.1610593998599958,False,0.6416151563341284,0.9076538298470287
BRA-017b4d129a81,opt,ssp126,Brazil,Nova Xavantina Es Participacoes Mato Grossense solar project,-15.0,-56.0,solar,5.0,2025.0,0.5424373942590172,0.7574309722163083,25.0,1.1610593998599958,False,0.6298020354399945,0.8794223500368401
BRA-017b4d129a81,pes,ssp585,Brazil,Nova Xavantina Es Participacoes Mato Grossense solar project,-15.0,-56.0,solar,5.0,2025.0,0.6462572257212607,0.804230455026958,25.0,1.1610593998599958,False,0.7503430266511127,0.9337593294627312
BRA-0184c890f0d5,bau,ssp370,Brazil,Presidente Bernardes Point Solar,-21.98,-51.55,solar,5.0,2025.0,0.5190163548429761,0.7263781905115402,25.0,1.1610593998599958,False,0.6026088174715085,0.8433682259467186
BRA-0184c890f0d5,opt,ssp126,Brazil,Presidente Bernardes Point Solar,-21.98,-51.55,solar,5.0,2025.0,0.4511238576114759,0.6801558382380323,25.0,1.1610593998599958,False,0.5237815953809064,0.7897013293559222
BRA-0184c890f0d5,pes,ssp585,Brazil,Presidente Bernardes Point Solar,-21.98,-51.55,solar,5.0,2025.0,0.6040436977112411,0.7334528502939079,25.0,1.1610593998599958,False,0.7013306131538264,0.8515823261878481
BRA-01887d9a902b,bau,ssp370,Brazil,Lorena Telefonica Brasil solar project,-22.7368,-45.1071,solar,4.0,2023.0,0.0179669818981482,0.1119058378814024,27.0,1.1727634601725492,False,0.02107101985972984,0.1312390776473018
BRA-01887d9a902b,opt,ssp126,Brazil,Lorena Telefonica Brasil solar project,-22.7368,-45.1071,solar,4.0,2023.0,0.0116583213938855,0.1163771053262797,27.0,1.1727634601725492,False,0.013672453337696816,0.136482816727313
